number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
66,très,none,adv,very,"* j'ai été bonne? très, très bonne -- was I good? very, very good","j'ai été bonne? très, très bonne",6,"was I good? very, very good",82,26324,82 | 26324
67,savoir,none,"nm,v",to know,* je ne savais plus quoi dire -- I didn't know what to say any more,je ne savais plus quoi dire,6,I didn't know what to say any more,78,32739,78 | 32739
68,falloir,none,v,"to take, require, need","* il ne faut pas être raciste, point -- there's no need to be a racist, at all","il ne faut pas être raciste, point",7,"there's no need to be a racist, at all",84,22844,84 | 22844
69,voir,none,v,to see,* je tenais seulement à te voir pour te dire ... bonne chance -- I just wanted to see you to say ... good luck,je tenais seulement à te voir pour te dire ... bonne chance,12,I just wanted to see you to say ... good luck,78,30907,78 | 30907
70,quelque,none,"adv,adj,det",some,* il restera pour quelques mois -- he will stay for a few months,il restera pour quelques mois,5,he will stay for a few months,86,18939,86 | 18939
71,sans,none,prep,without,* je fais plus jeune sans maquillage -- I look younger without makeup,je fais plus jeune sans maquillage,6,I look younger without makeup,81,25099,81 | 25099
72,raison,none,nf,reason,"* elle a raison, tu sais -- she's right, you know","elle a raison, tu sais",5,"she's right, you know",92,9506,92 | 9506
73,notre,none,det,our,* notre ville a le sens de la communauté -- our city has a sense of community,notre ville a le sens de la communauté,8,our city has a sense of community,78,29713,78 | 29713
74,dont,none,pro,"whose, of which",* on a tout ce dont tu rêvais en ville -- everything you dreamed about is available in town,on a tout ce dont tu rêvais en ville,9,everything you dreamed about is available in town,86,17841,86 | 17841
75,non,none,"adv,nmi","no, not","* non, je ne peux pas parler maintenant -- no, I can't talk now","non, je ne peux pas parler maintenant",7,"no, I can't talk now",81,24848,81 | 24848
76,an,Time,nm,year,* j'avais un an à la mort de mon père -- I was one year old when my father died,j'avais un an à la mort de mon père,9,I was one year old when my father died,82,22241,82 | 22241
77,monde,Natural features and plants,nm,"world, people",* notre ultime but est de reconstruire le monde -- our ultimate goal is to remake the world,notre ultime but est de reconstruire le monde,8,our ultimate goal is to remake the world,87,15475,87 | 15475
78,jour,Time,nm,day,"* un jour, je retrouverais mes vrais parents -- one day, I would find my real parents","un jour, je retrouverais mes vrais parents",7,"one day, I would find my real parents",86,17641,86 | 17641
79,monsieur,Relationships,nm,"mister, sir, gentleman","* comment allez-vous , monsieur? -- how are you, sir?","comment allez-vous , monsieur?",4,"how are you, sir?",67,45411,67 | 45411
80,demander,Verbs of communication,v,to ask for,* j'ai un service à vous demander -- I would like to ask you to do something for me,j'ai un service à vous demander,6,I would like to ask you to do something for me,86,16076,86 | 16076
81,alors,none,adv,"then, so",* et alors? vous revenez quand? -- so? when are you coming back ?,et alors? vous revenez quand?,5,so? when are you coming back ?,84,18443,84 | 18443
82,après,none,"adv,prep",after,* il a succombé à ses blessures peu après -- he shortly thereafter succumbed to his wounds,il a succombé à ses blessures peu après,8,he shortly thereafter succumbed to his wounds,83,17733,83 | 17733
83,trouver,none,v,to find,* j'ai trouvé du sang. sur le siège avant -- I found some blood. on the front seat,j'ai trouvé du sang. sur le siège avant,8,I found some blood. on the front seat,85,16036,85 | 16036
84,personne,none,"nf,pro","person, people, anybody, anyone, nobody",* il ne parlait à personne en particulier -- he was speaking to nobody in particular,il ne parlait à personne en particulier,7,he was speaking to nobody in particular,84,16218,84 | 16218
